,key,value
155,가았다가,-1
156,가지,-1
157,가,1
158,가고,-1
159,가고있,-1
160,가ㄹ,1
161,가ㄹ계획,1
162,가ㄹ수,1
163,가격,1
164,가격보다,1
165,가격의,1
166,가격의절반,1
167,가까이,-1
168,가까이다가가,1
169,가까이초과,-1
170,가까이초과하,-1
171,가깝,-1
172,가깝게,1
173,가깝게느끼,1
174,가꾸,1
175,가꾸며,1
176,가꾸며살아오,1
177,가늠,1
178,가늠하,1
179,가능*,-1
180,가능*성,-1
181,가능*성이,-1
182,가능,0
183,가능성,0
184,가능성의,-1
185,가능성이,0
186,가능하,1
187,가능하게,1
188,가능하ㄴ,1
189,가능,-1
190,가능성,-1
191,가능성은,-1
192,가능성이,1
193,가도,1
194,가도를,1
195,가도를달리,1
196,가득,-1
197,가득차,-1
198,가로막히,-1
199,가르치,-1
200,가르치는,-1
201,가르치는책,-1
202,가르치ㄹ,1
203,가르치ㄹ수,1
204,가르치려면,-1
205,가르치려면공부,-1
206,가리,1
207,가리지,1
208,가리지않,1
209,가사,-1
210,가사노동,-1
211,가사노동에,-1
212,가스,-1
213,가스가,-1
214,가스가새,-1
215,가슴,1
216,가슴은,1
217,가슴은녹아내리,1
218,가슴을,-1
219,가슴을치밀,-1
220,가슴이뛰,1
221,가슴이나,0
222,가슴이나이빨,0
223,가을,0
224,가을같,0
225,가장,1
226,가장고독,-1
227,가장고독하,-1
228,가장긍정,1
229,가장긍정적,1
230,가장길,1
231,가장내용,1
232,가장내용이,1
233,가장널리,1
234,가장널리알리,1
235,가장단적,1
236,가장단적으로,1
237,가장많이,-1
238,가장많이발생,-1
239,가장먼저,1
240,가장먼저필요,1
241,가장상식,1
242,가장상식적,1
243,가장성공,1
244,가장성공하,1
245,가장솔직,1
246,가장솔직하,1
247,가장아름답,1
248,가장아름답게,1
249,가장어렵,-1
250,가장어렵ㄴ,-1
251,가장위협,-1
252,가장위협하,-1
253,가장인기,1
254,가장인기이,1
255,가장일관,1
256,가장일관되,1
257,가장전문가,1
258,가장전문가집단,1
259,가장좋,1
260,가장좋아,1
261,가장친근,1
262,가장친근하,1
263,가장크,-1
264,가장크ㄴ,-1
265,가장하,-1
266,가장하ㄴ,-1
267,가장흉내,1
268,가장흉내내,1
269,가족,1
270,가족들,1
271,가족들이,1
272,가족은,1
273,가족은결코,1
274,가족이,-1
275,가족이있,-1
276,가족이함께,1
277,가족하고*,-1
278,가족하고*함께,-1
279,가증,-1
280,가증스럽,-1
281,가지,-1
282,가지가,-1
283,가지가넘,-1
284,가지단점,-1
285,가지단점이,-1
286,가지문제,-1
287,가지,1
288,가지고,0
289,가지고오,0
290,가지ㄴ,1
291,가지ㄴ사람,1
292,가지ㄴ재주,-1
293,가지ㄴ제품,1
294,가지어다,-1
295,가지어다놓,-1
296,가책,-1
297,가책이,-1
298,가책이나,-1
299,가출,-1
300,가출하,-1
301,가치,1
302,가치가,1
303,가치가있,1
304,가치는,0
305,가치는신,0
306,가치를,1
307,가치를높이,1
308,가치체계,1
309,가치체계나,1
310,가타부타,0
311,가타부타아무런,0
312,가타부타아무런응답,0
313,가파르,-1
314,가파르고,-1
315,가하,-1
316,각광,1
317,각국,1
318,각국의,1
319,각국의보건,1
320,각별,1
321,각별하,1
322,각별하ㅁ,1
323,각별히,1
324,각성,1
325,각성하,1
326,각양각색,1
327,각양각색이,1
328,각종,-1
329,각종범죄,-1
330,각종범죄를,-1
331,간,-1
332,간상속,-1
333,간곡,1
334,간곡하,1
335,간단히,1
336,간밤,1
337,간밤의,1
338,간밤의긴박,1
339,간신히,-1
340,간신히매달리,-1
341,간신히매달리어,-1
342,간주,-1
343,간주하,-1
344,간첩,-1
345,간첩등,-1
346,간첩등불순,-1
347,간편,1
348,간편하,1
349,간호,1
350,갈구,1
351,갈구하,1
352,갈등,-1
353,갈수록,-1
354,갈수록모자라,-1
355,갈피,-1
356,갈피를,-1
357,갈피를못,-1
358,갈피마다,1
359,갈피마다에,1
360,감,-1
361,감이,-1
362,감이들,1
363,감이없,-1
364,감각,-1
365,감각적,-1
366,감각적의지,-1
367,감내,-1
368,감내하,-1
369,감내하지,-1
370,감독,-1
371,감독과*,1
372,감독과*영화,1
373,감독과,1
374,감독과영화,1
375,감독을,-1
376,감독을게을리,-1
377,감독의,-1
378,감독의영화,-1
379,감독이,0
380,감독이갑자기,0
381,감독이미국,0
382,감동,1
383,감동깊,1
384,감동으로,1
385,감사,1
386,감사하,1
387,감사하ㅂ니다,1
388,감칠맛,1
389,감칠맛나,1
390,감탄사,1
391,감탄사를,1
392,감탄사를연발,1
393,갑자기,0
394,갑자기돌아오,0
395,갑자기돌아오았,0
396,갑자기호흡,0
397,갑자기호흡이,0
398,갑작스레,0
399,갑작스레꿈,0
400,갑작스레꿈에서,0
401,값,1
402,값등,1
403,값등을,1
404,값싸,1
405,값싸고,1
406,값으로,-1
407,값으로팔리,-1
408,값싸,1
409,강군,1
410,강단,1
411,강단교류,1
412,강도,-1
413,강도높,-1
414,강도높게,-1
415,강도있,1
416,강력,-1
417,강력하,-1
418,강력하ㄴ,-1
419,강렬,1
420,강렬하,1
421,강물,-1
422,강물위,-1
423,강물위에,-1
424,강박,-1
425,강박에,-1
426,강박에시달리,-1
427,강요,-1
428,강요하,-1
429,강의,-1
430,강의하,-1
431,강의하ㄴ다,-1
432,강점,1
433,강점으로,1
434,강점으로내세우,1
435,강제,1
436,강제하,1
437,강조,1
438,강조하,1
439,강하,1
440,강화,1
441,강화되,1
442,강화하,1
443,강화책,1
444,갖,-1
445,갖게,1
446,갖게되,1
447,갖지,-1
448,갖지못하,-1
449,갖가지,-1
450,갖가지사회,-1
451,갖가지사회적,-1
452,갖추,1
453,같,-1
454,같다,-1
455,같은,-1
456,같은모호,0
457,같은연극,1
458,같은영화,1
459,같은인상,-1
460,같은입시,-1
461,같이,-1
462,같이붓,-1
463,같이붓을,-1
464,같이비판,-1
465,같이비판하,-1
466,같이,-1
467,같이하,1
468,같이허둥대,-1
469,같이허둥대며,-1
470,갚,1
471,갚는,1
472,갚는것,1
473,개,1
474,개념,1
475,개념만,1
476,개념만벗어나,1
477,개방,-1
478,개방정책,-1
479,개방정책이,-1
480,개선,1
481,개선하,1
482,개선하아,1
483,개성,1
484,개성어리,1
485,개성있,1
486,개성있,1
487,개인적자유,1
488,개입,-1
489,개조,-1
490,개조과제,-1
491,개척,1
492,개척에,1
493,개척에본격,1
494,개혁,-1
495,개혁등,1
496,개혁등을,1
497,개혁을,-1
498,개혁을하,-1
499,객관,-1
500,객관적,-1
501,객관적실상,-1
502,객관화,1
503,객관화시키,1
504,거,-1
505,거같,-1
506,거이,-1
507,거이다,-1
508,거,-1
509,거나,-1
510,거나가족,-1
511,거나가족이,-1
512,거나목소리,1
513,거나목소리높이,1
514,거나의식,0
515,거나의식장애,0
516,거나인터뷰,-1
517,거나인터뷰를,-1
518,거나자,0
519,거나자다,0
520,거나포기,-1
521,거나포기하,-1
522,거느리,-1
523,거느리ㄴ,-1
524,거느리ㄴ일직선,-1
525,거두,1
526,거듭나,1
527,거룩,-1
528,거룩하,-1
529,거룩하ㄴ,-1
530,거리,-1
531,거리를,-1
532,거리를유지,-1
533,거리낌,1
534,거리낌없이,1
535,거봉,1
536,거부,-1
537,거부하,-1
538,거부하ㄹ,-1
539,거세,-1
540,거세공포,-1
541,거세공포로부터,-1
542,거세,1
543,거울,1
544,거울이,1
545,거울이며,1
546,거의거치,-1
547,거의거치지,-1
548,거의반영,-1
549,거의반영하,-1
550,거의없,1
551,거짓,-1
552,거짓없이,1
553,거짓말,-1
554,거치,-1
555,거치어,1
556,거치어오,1
557,거치지,-1
558,거치지않,-1
559,거칠,1
560,거칠ㄴ,1
561,거칠ㄴ숨소리,1
562,거푸집,1
563,거푸집속,1
564,거푸집속에서,1
565,거품,1
566,거품도,1
567,거품도만들,1
568,걱정,-1
569,걱정되,-1
570,건,-1
571,건이상,-1
572,건이상교통,-1
573,건강,1
574,건강을,1
575,건강을지키,1
576,건강이,1
577,건강이좋,1
578,건강하,1
579,건드리,-1
580,건드리지,-1
581,건드리지도,-1
582,건물,-1
583,건물형식,-1
584,건물형식을,-1
585,건배,-1
586,건수,-1
587,건수가,-1
588,건수가많,-1
589,건실,1
590,건실하,1
591,건의,1
592,건의하,1
593,건전,1
594,건전레포츠,1
595,건전레포츠로,1
596,건축,1
597,건축도,1
598,건축도하나,1
599,건축양식,1
600,건축창작,0
601,건축창작도,0
602,건축물,-1
603,건축물을,-1
604,건축물을설계,-1
605,걷,-1
606,걷는,-1
607,걷는것,-1
608,걷어,-1
609,걷어내,-1
610,걸,1
611,걸어,1
612,걸어나오,1
613,걸어주,1
614,걸리,-1
615,걸림돌,-1
616,걸맞,1
617,걸맞게,1
618,검사,-1
619,검사등,-1
620,검사등으로,-1
621,검사로,-1
622,검사로확인,-1
623,겁,0
624,겁없이,0
625,것같다,-1
626,것같은,-1
627,것과,-1
628,것과마찬가지,-1
629,것과생필품,1
630,것ㄴ,-1
631,것ㄴ바람직,-1
632,것ㄴ절대,-1
633,것ㄴ젊,1
634,것도,-1
635,것도그,-1
636,것도믿,-1
637,것도아니,-1
638,것도아마,1
639,것들,1
640,것들을,1
641,것때문,-1
642,것때문에,-1
643,것로,0
644,것로기억,0
645,것만,1
646,것만도,1
647,것만으로,1
648,것보다,1
649,것보다그동안,1
650,것으로,1
651,것으로기대,1
652,것으로단맛,1
653,것으로여기,1
654,것으로추정,1
655,것으로풀이,-1
656,것은,-1
657,것은아니,-1
658,것은자아,1
659,것을,-1
660,것을깨닫,-1
661,것을돈,-1
662,것을만들,0
663,것을요구,-1
664,것을확인,1
665,것이,1
666,것이아니,1
667,것이,-1
668,것이국기,-1
669,것이더,1
670,것이도움,1
671,것이뭐,1
672,것이사실,0
673,것이안,1
674,것이얼마나,-1
675,것이없,-1
676,것이이,0
677,것이힘들,-1
678,것이ㄴ지,0
679,것이라고,-1
680,것이ㅁ,-1
681,것이ㅂ니다,-1
682,것처럼,-1
683,것처럼노려보,-1
684,것처럼보이,1
685,게*,-1
686,게*미치,-1
687,게*미치었,-1
688,게,1
689,게갇히,-1
690,게갇히어,-1
691,게결심,-1
692,게결심을,-1
693,게겹치,1
694,게경고,-1
695,게경고하,-1
696,게구분,0
697,게구분되,0
698,게굳,1
699,게굳지,1
700,게그리,-1
701,게그리니,-1
702,게기회,1
703,게기회를,1
704,게깎,-1
705,게깎았,-1
706,게내다보이,-1
707,게느끼,-1
708,게느끼어,-1
709,게늘,1
710,게다가오,1
711,게다르,-1
712,게다르아,1
713,게다르지,-1
714,게다지,1
715,게다지어,1
716,게도바라,1
717,게되,1
718,게되ㄴ,1
719,게되었,1
720,게되도록,1
721,게되도록쉽,1
722,게되살리,1
723,게들리,-1
724,게따지,1
725,게따지어,1
726,게뜨겁,0
727,게뜨겁어,0
728,게마련,0
729,게마련이,0
730,게만,-1
731,게만보이,-1
732,게만들,-1
733,게무섭,-1
734,게무섭ㄴ,-1
735,게묻어나,0
736,게발흥,1
737,게발흥하,1
738,게버티,-1
739,게버티ㄴ,-1
740,게부족,-1
741,게부족하,-1
742,게붙,0
743,게사,1
744,게사용,1
745,게사용되,1
746,게살,1
747,게살아,1
748,게생각,1
749,게생각하,1
750,게성취,1
751,게성취하,1
752,게승진,-1
753,게승진하,-1
754,게시작,1
755,게시작하,1
756,게쓰,-1
757,게쓰는,-1
758,게아름답,1
759,게여기,-1
760,게옥살이,1
761,게옥살이를,1
762,게웃,1
763,게위협,-1
764,게위협받,-1
765,게의식,-1
766,게의식하,-1
767,게의지,1
768,게의지하,1
769,게이,1
770,게이든,1
771,게이기,-1
772,게이기적,-1
773,게이루,1
774,게이루어,1
775,게인기,1
776,게조명,1
777,게조명하,1
778,게좋,1
779,게좋아,1
780,게주례,1
781,게주례를,1
782,게준수,1
783,게준수하,1
784,게찢어지,-1
785,게참여,1
786,게참여하,1
787,게철학,1
788,게철학이야기,1
789,게팔,1
790,게팔ㅂ니다,1
791,게풀어지,1
792,게하,-1
793,게하여,-1
794,게하,1
795,게하ㄴ,-1
796,게하는,1
797,게하ㄹ,-1
798,게하아,1
799,게행복,1
800,게행복을,1
801,게양,-1
802,게양률,-1
803,게양률을,-1
804,게을리,-1
805,게을리하,-1
806,게을리하시,-1
807,게임,1
808,게임의,1
809,게임의법칙,1
810,겠네요,-1
811,겠느냐고,-1
812,겠느냐고못,-1
813,겠느냐고스스로,1
814,겠다,0
815,겠다,1
816,겠다고,-1
817,겠다고마음먹,0
818,겠다고생각,-1
819,겠다고팔,-1
820,겠다는,1
821,겠다는꿈,1
822,겠다는뜻,1
823,겠다는생각,-1
824,겠습니까,1
825,겠어,0
826,겠지요,-1
827,겨냥,1
828,겨우,-1
829,겨울,1
830,겨울에,1
831,겨울에는,1
832,격,1
833,격을,1
834,격을높이,1
835,격려,1
836,격려하,1
837,격려하았,1
838,격상,1
839,격차,1
840,격차해소,1
841,격차해소노력,1
842,겪,-1
843,겪는,-1
844,겪는경우,-1
845,견디,1
846,견디어,1
847,견디어오,1
848,견디어라,1
849,결,1
850,결국,-1
851,결국죽,-1
852,결국죽게,-1
853,결단,-1
854,결단을,-1
855,결단을두,-1
856,결론,-1
857,결론을,1
858,결론을내리,1
859,결속,1
860,결속하,1
861,결심,-1
862,결심을,-1
863,결심을뒤흔들,-1
864,결심을하,-1
865,결심하,1
866,결여,-1
867,결여되,-1
868,결여의,-1
869,결여의표상,-1
870,결의,1
871,결의하,1
872,결정을,-1
873,결정을받,-1
874,결집,1
875,결집하,1
876,결코쓰러지,1
877,결코쓰러지지,1
878,결함,-1
879,결함이,-1
880,결함이있,-1
881,결혼,-1
882,결혼도,-1
883,결혼도세상,-1
884,결혼에,1
885,결혼에대하,1
886,결혼을,-1
887,결혼을꿈꾸,-1
888,결혼전,0
889,결혼전에,0
890,결혼식,1
891,결혼식에,1
892,결혼식에서로,1
893,겹치,1
894,경각심,-1
895,경각심이,-1
896,경각심이부각,-1
897,경고,-1
898,경고하,-1
899,경보,1
900,경보도,1
901,경색,0
902,경우,0
903,경우가,-1
904,경우가적,-1
905,경우뇌,0
906,경우뇌신경,0
907,경쟁,-1
908,경쟁심리,-1
909,경쟁이,1
910,경쟁이치열,1
911,경제,-1
912,경제범죄,-1
913,경제성,0
914,경제적,-1
915,경제적궁핍,-1
916,경제정책,1
917,경제제재,1
918,경제제재를,1
919,경제력,1
920,경제력이,1
921,경제력이있,1
922,경주,1
923,경주탐방,1
924,경지,-1
925,경지의,-1
926,경지의예술,-1
927,경직,1
928,경직성,1
929,경직성과,1
930,경향,-1
931,경향을,1
932,경향을약화,1
933,경향이,-1
934,경향이있,-1
935,경험,1
936,경험을,1
937,경험을공유,1
938,경험이,1
939,경험이비슷,1
940,곁,1
941,곁으로,1
942,곁을,1
943,곁을떠나,1
944,곁들이,0
945,계,1
946,계가,1
947,계가주장,1
948,계에서,1
949,계에서는,1
950,계에서잔뼈,1
951,계최대,1
952,계최대의,1
953,계기,1
954,계기가,1
955,계기가되,1
956,계기로,1
957,계기로국내,1
958,계속,-1
959,계속정체,-1
960,계속정체상태,-1
961,계속하겠,0
962,계통,0
963,계통의,0
964,계통의질환,0
965,계획,1
966,계획을,1
967,계획을발표,1
968,계획을세우,1
969,계획을잡,1
970,계획이,1
971,계획하,1
972,고*,1
973,고*견디,1
974,고*견디어,1
975,고,1
976,고걷,-1
977,고걷어,-1
978,고견디,1
979,고견디어라,1
980,고공연,-1
981,고괴로워하,-1
982,고괴로워하았,-1
983,고귀,0
984,고귀가,0
985,고그동안,1
986,고그동안이루,1
987,고나,1
988,고나니까,1
989,고나가,1
990,고나가지,1
991,고나서,1
992,고나서기,1
993,고나중,1
994,고나중에,1
995,고는,-1
996,고는혀,-1
997,고다가가,1
998,고다가가려고,1
999,고들어가,1
1000,고들어가는,1
1001,고또는,1
1002,고또는공짜,1
1003,고만,-1
1004,고만보,-1
1005,고맛,1
1006,고맛있,1
1007,고먹,-1
1008,고먹고,-1
1009,고면허,1
1010,고면허를,1
1011,고몸살,1
1012,고몸살을,1
1013,고물,-1
1014,고물속,-1
1015,고믿,-1
1016,고믿으시,-1
1017,고번들번들,-1
1018,고번들번들하,-1
1019,고사,-1
1020,고사느라,-1
1021,고살,-1
1022,고살ㄴ다는,-1
1023,고살았,-1
1024,고손,-1
1025,고손으로,-1
1026,고수미산,1
1027,고수미산을,1
1028,고싶,1
1029,고싶다는,-1
1030,고싶습니다,1
1031,고싶어,1
1032,고싶어요,1
1033,고싶었,-1
1034,고싶은,0
1035,고싸움,-1
1036,고싸움을,-1
1037,고쓸쓸,1
1038,고쓸쓸하,1
1039,고약혼,-1
1040,고약혼까지,-1
1041,고양심,-1
1042,고양심의,-1
1043,고얼마나,-1
1044,고얼마나오랜,-1
1045,고역사,1
1046,고역사의,1
1047,고예술,1
1048,고예술적,1
1049,고오,0
1050,고오았,0
1051,고외롭,1
1052,고외롭었,1
1053,고욕망,-1
1054,고욕망을,-1
1055,고용서,-1
1056,고용서하,-1
1057,고울리,1
1058,고이,-1
1059,고이지구,-1
1060,고익숙,1
1061,고익숙하,1
1062,고있,1
1063,고있는,1
1064,고있,-1
1065,고있는,-1
1066,고있는데,0
1067,고있다,-1
1068,고있습니다,-1
1069,고있었,-1
1070,고자,-1
1071,고자는,-1
1072,고자라,0
1073,고자라ㄹ까,0
1074,고정들,-1
1075,고정들ㄴ,-1
1076,고존재,1
1077,고존재이유,1
1078,고좋,1
1079,고좋은,1
1080,고즐기,1
1081,고최고,-1
1082,고토하,0
1083,고토하고,0
1084,고하,1
1085,고하는,1
1086,고해외,1
1087,고해외시장,1
1088,고허둥대,-1
1089,고화장실,0
1090,고화장실을,0
1091,고휴식,-1
1092,고휴식참,-1
1093,고,1
1094,고강조,1
1095,고강조하,1
1096,고기뻐하,1
1097,고다짐,1
1098,고다짐하,1
1099,고답변,1
1100,고답변하,1
1101,고답하,1
1102,고말,-1
1103,고말하,-1
1104,고밝히,-1
1105,고정의,0
1106,고정의하,0
1107,고주장,-1
1108,고주장하,-1
1109,고지적,-1
1110,고지적하,-1
1111,고통첩,-1
1112,고통첩하,-1
1113,고평가,-1
1114,고평가하,-1
1115,고호소,1
1116,고호소하,1
1117,고,1
1118,고품질,1
1119,고품질유지,1
1120,고갈,-1
1121,고갈상태,-1
1122,고개,-1
1123,고개를,-1
1124,고개를끄덕이,1
1125,고개를절레절레,-1
1126,고객,1
1127,고객들,1
1128,고객들에게,1
1129,고구려,1
1130,고구려벽화,1
1131,고구려벽화를,1
1132,고급,-1
1133,고급화,-1
1134,고기,0
1135,고기와,0
1136,고기와생선,0
1137,고달프,1
1138,고달프ㄴ,1
1139,고달프ㄴ삶,1
1140,고대,1
1141,고대하,1
1142,고독,-1
1143,고독하,-1
1144,고되,-1
1145,고루,1
1146,고루하,1
1147,고루하ㄴ,1
1148,고르,-1
1149,고르지,-1
1150,고르지못하,-1
1151,고리타분,-1
1152,고리타분하,-1
1153,고리타분하게,-1
1154,고립,-1
1155,고립되,-1
1156,고립되어,-1
1157,고립무원,-1
1158,고립무원속,-1
1159,고립무원속에서,-1
1160,고마움,1
1161,고마움깨닫,1
1162,고마움을,1
1163,고마움을전하,1
1164,고무,-1
1165,고무밴드,-1
1166,고무밴드가,-1
1167,고무적,1
1168,고무적이,1
1169,고민,-1
1170,고민에,1
1171,고민에도움,1
1172,고민하,-1
1173,고발,-1
1174,고발건수,-1
1175,고발건수가,-1
1176,고비,1
1177,고비를,1
1178,고비를넘기,1
1179,고삐,-1
1180,고삐가,-1
1181,고삐가풀리,-1
1182,고심,-1
1183,고심하,-1
1184,고액,1
1185,고액과외,1
1186,고액과외는,1
1187,고양,1
1188,고양시키,1
1189,고유,1
1190,고유건축,1
1191,고유건축양식,1
1192,고육지책,-1
1193,고육책,-1
1194,고이,-1
1195,고장,-1
1196,고장나,-1
1197,고조,-1
1198,고조되,-1
1199,고질,-1
1200,고질적,-1
1201,고질적문제,-1
1202,고질화,-1
1203,고질화되,-1
1204,고질병,-1
1205,고집,-1
1206,고집하,-1
1207,고충,1
1208,고충을,1
1209,고충을덜,1
1210,고층,-1
1211,고층아파트,-1
1212,고층아파트숲,-1
1213,고치,0
1214,고치는,0
1215,고치는등,0
1216,고통,-1
1217,고통을,-1
1218,고통을겪,-1
1219,고통을주,-1
1220,고통이,-1
1221,고통이생기,-1
1222,고향,1
1223,고향으로,1
1224,곡,-1
1225,곡이,-1
1226,곡이흐르,-1
1227,곤란,-1
1228,곤란하,-1
1229,곤란하거나,0
1230,곤란하ㄴ,-1
1231,곤란하아,-1
1232,곤혹,-1
1233,곤혹스럽,-1
1234,곤혹스럽ㄴ,-1
1235,곧,-1
1236,곧파멸,-1
1237,곧파멸직전,-1
1238,골,-1
1239,골이,-1
1240,골이점점,-1
1241,골고루,1
1242,골고루녹,1
1243,골고루녹아,1
1244,골절,1
1245,골절되,1
1246,골절되ㄴ,1
1247,골치,-1
1248,골치아프,-1
1249,곰,-1
1250,곳,1
1251,곳에향하,1
1252,곳에서,1
1253,곳에서도,1
1254,곳에서항상,1
1255,곳을,0
1256,곳을넘어서,0
1257,곳이,-1
1258,곳이크,-1
1259,공간,1
1260,공간에서,1
1261,공간에서의,1
1262,공간이,1
1263,공간이전시장,1
1264,공감,1
1265,공감과,1
1266,공감과통찰,1
1267,공감하,1
1268,공감대,1
1269,공감대바탕,1
1270,공급,1
1271,공급하,1
1272,공기,1
1273,공기가,1
1274,공기가얼마나,1
1275,공동체,1
1276,공멸,1
1277,공멸하,1
1278,공멸하ㄴ다는,1
1279,공백,-1
1280,공백을,1
1281,공백을메우,1
1282,공백이,-1
1283,공백이생기,-1
1284,공부,-1
1285,공부를,-1
1286,공부를더,-1
1287,공부싫,-1
1288,공부싫은,-1
1289,공부하,1
1290,공부하는,1
1291,공산,-1
1292,공산은,-1
1293,공산은크,-1
1294,공상,-1
1295,공식,-1
1296,공식입장,-1
1297,공식입장이,-1
1298,공식협의,-1
1299,공식협의를,-1
1300,공연,-1
1301,공연물,1
1302,공연물로,1
1303,공연,-1
1304,공연하,-1
1305,공연하ㄴ,-1
1306,공유,1
1307,공유하,1
1308,공장,-1
1309,공장공장장,-1
1310,공장공장장님,-1
1311,공장장,-1
1312,공장장님,-1
1313,공장장님들,-1
1314,공조,1
1315,공존,1
1316,공존의,1
1317,공존의길,1
1318,공짜,1
1319,공짜로,1
1320,공통,-1
1321,공통되,-1
1322,공통되ㄴ,-1
1323,공포,-1
1324,공포로부터,-1
1325,공포로부터자유,-1
1326,공포와,1
1327,공포와암흑,1
1328,공화국,1
1329,과*,-1
1330,과*공식,-1
1331,과*공식협의,-1
1332,과*영화,1
1333,과*영화와,1
1334,과,1
1335,과결혼,1
1336,과결혼에,1
1337,과경험,1
1338,과경험을,1
1339,과고통,-1
1340,과고통이,-1
1341,과그,1
1342,과그주변,1
1343,과나비,0
1344,과나비와,0
1345,과마음,1
1346,과마음을,1
1347,과미국,1
1348,과미국보다,1
1349,과반복,-1
1350,과반복은,-1
1351,과색,1
1352,과색을,1
1353,과생물,-1
1354,과생물해적,-1
1355,과알코올,-1
1356,과알코올중독,-1
1357,과영화,1
1358,과예술,1
1359,과예술의,1
1360,과유치원,1
1361,과유치원어린이,1
1362,과일반,-1
1363,과일반적,-1
1364,과절대주의,1
1365,과절대주의에서,1
1366,과죄의식,-1
1367,과죄의식의,-1
1368,과지방,-1
1369,과지방을,-1
1370,과축소,1
1371,과축소형,1
1372,과카메라,1
1373,과카메라에,1
1374,과통찰,1
1375,과통찰의,1
1376,과폭행,-1
1377,과폭행의,-1
1378,과하늘,-1
1379,과하늘을,-1
1380,과한과,1
1381,과한과가,1
1382,과,1
1383,과같,-1
1384,과같다,-1
1385,과관계,0
1386,과관계가,0
1387,과달리,1
1388,과달리튀,1
1389,과대비,1
1390,과대비되,1
1391,과마찬가지,-1
1392,과마찬가지이,-1
1393,과모순,-1
1394,과생필품,1
1395,과생필품을,1
1396,과영화,1
1397,과영화에,1
1398,과전통,1
1399,과전통문화,1
1400,과함께,1
1401,과함께살,1
1402,과감,1
1403,과감하,1
1404,과감하게,1
1405,과거,1
1406,과거는,1
1407,과거는제치,1
1408,과거로,0
1409,과거로들어가,0
1410,과거의,-1
1411,과거의아픔,-1
1412,과다,-1
1413,과다업무,-1
1414,과다업무좌절감,-1
1415,과대,-1
1416,과대포장,-1
1417,과도,-1
1418,과도하,-1
1419,과반수,-1
1420,과반수의,-1
1421,과반수의석,-1
1422,과시,-1
1423,과시성,-1
1424,과열,-1
1425,과열과외,1
1426,과열과외나,1
1427,과오,-1
1428,과오를,-1
1429,과오를범하,-1
1430,과외,1
1431,과외나,1
1432,과외나고액,1
1433,과외는,1
1434,과외는없,1
1435,과욕,-1
1436,과욕이,-1
1437,과욕이앞서,-1
